key_resp.keys,key_resp.corr,,,tilt,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,hit,miss,,
up,1,,,0,,,fa ,cr,,
down,1,,,-3,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,46,6,,
down,1,,,-2,,,6,42,,
up,1,,,0,,,,,,
up,1,,,0,,,prop hit= hit/hit+miss,,,0.884615385
up,1,,,0,,,,,,
down,1,,,3,,,prop fa=fa/fa+cr,,,0.125
down,1,,,-2,,,,,,
up,1,,,0,,,dprime= z(prop hit)- z(prop fa),,,2.348729083
up,1,,,0,,,,,,
down,1,,,-2,,,c= -z(prophit) + z(propfa)/2,,,-0.024015161
down,1,,,3,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,0,,,-2,,,,,,
down,1,,,-5,,,,,,
up,0,,,-4,,,,,,
down,1,,,-5,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,3,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,3,,,,,,
up,1,,,0,,,,,,
down,1,,,2,,,,,,
down,0,,,0,,,,,,
down,1,,,-5,,,,,,
up,1,,,0,,,,,,
down,1,,,-4,,,,,,
up,1,,,0,,,,,,
down,1,,,-2,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,3,,,,,,
down,1,,,4,,,,,,
up,0,,,1,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,2,,,,,,
down,1,,,-5,,,,,,
down,1,,,4,,,,,,
down,1,,,4,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,0,,,0,,,,,,
down,0,,,0,,,,,,
down,0,,,0,,,,,,
down,1,,,2,,,,,,
up,1,,,0,,,,,,
up,0,,,-5,,,,,,
down,1,,,-5,,,,,,
up,0,,,1,,,,,,
down,1,,,-5,,,,,,
up,1,,,0,,,,,,
down,1,,,3,,,,,,
up,1,,,0,,,,,,
up,0,,,2,,,,,,
down,1,,,-3,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,-5,,,,,,
down,1,,,-5,,,,,,
up,1,,,0,,,,,,
down,1,,,-5,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,-5,,,,,,
down,1,,,-4,,,,,,
down,1,,,-5,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,3,,,,,,
down,1,,,-5,,,,,,
down,1,,,4,,,,,,
down,1,,,-5,,,,,,
down,1,,,4,,,,,,
down,1,,,3,,,,,,
up,1,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,1,,,,,,
down,1,,,3,,,,,,
down,1,,,-5,,,,,,
down,1,,,3,,,,,,
down,0,,,0,,,,,,
down,0,,,0,,,,,,
up,1,,,0,,,,,,
down,1,,,4,,,,,,
